wortart;latein;praesens;perfekt;ppp;genitiv;genus;nomsgf;nomsgn;bedeutungen;bemerkungen
Adjektiv;acerbus;;;;;;acerba;acerbum;"herb;bitter;sauer";
Verb;adiuvare;adiuvo;adiuvi;adiutum;;;;;"unterstützen;helfen";
Substantiv;agnus;;;;agni;m;;;Lamm;
Sonstiges;ait;;;;;;;;er/sie/es sagt€;
Verb;amare;amo;amavi;amatum;;;;;"lieben;mögen";
Verb;amittere;amitto;amisi;amissum;;;;;"loslassen;verlieren";
Verb;appetere;appeto;appetivi;appetitum;;;;;haben wollen, zu erreichen suchen;
Substantiv;arbor;;;;arboris;f;;;Baum;
Substantiv;asinus;;;;asini;m;;;Esel;
Verb;attingere;attingo;attigi;attactum;;;;;"berühren;erreichen";
Adjektiv;avidus;;;;;;avida;avidum;gierig;
Substantiv;avis;;;;avis;f;;;Vogel;
Verb;bibere;bibo;bibi;;;;;;trinken;
Adjektiv;bonus;;;;;;bona;bonum;"gut;tüchtig";
Substantiv;bos;;;;bovis;m;;;"Rind;Ochse";
Substantiv;bos;;;;bovis;f;;;Kuh;
Substantiv;calamitas;;;;calamitatis;f;;;"Unglück;Niederlage";
Substantiv;canis;;;;canis;m;;;Hund;
Substantiv;caro;;;;carnis;f;;;Fleisch;
Substantiv;cibus;;;;cibi;m;;;"Nahrung;Speise";
Substantiv;ciconia;;;;ciconiae;f;;;Storch;
Verb;cogere;cogo;coegi;coactum;;;;;"drängen;bedrängen;zwingen";
Substantiv;collum;;;;colli;n;;;Hals;
Verb;conspicere;conspicio;conspexi;conspectum;;;;;erblicken;
Verb;contemnere;contemno ;contempsi;contemptum;;;;;verachten;
Adjektiv;contentus;;;;;;contenta;contentum;zufrieden;
Verb;corripere;corripio;corripui;correptum;;;;;"ergreifen;packen";
Substantiv;corvus;;;;corvi;m;;;Rabe;
Verb;credere;credo;credidi;creditum;;;;;"glauben;anvertrauen";
Verb;decipere;decipio;decepi;deceptum;;;;;"täuschen;enttäuschen";
Substantiv;decor;;;;decoris;m;;;"Anstand;Schönheit;Schmuck";
Substantiv;dens;;;;dentis;m;;;Zahn;
Verb;desiderare;desidero;desideravi;desideratum;;;;;ersehnen,erwarten;
Verb;despicere;despicio;despexi;despectum;;;;;"herabblicken;verachten";
Verb;devorare;devoro;devoravi;devoratum;;;;;verschlingen;
Verb;dimittere;dimitto;dimisi;dimissum;;;;;"aufgeben;entlassen";
Verb;discedere;discedo;discessi;discessum;;;;;"auseinandergehen;weggehen";
Substantiv;dolus;;;;doli;m;;;"List;Hinterlist";
Sonstiges;dum;;;;;;;;"währen;wenn nur";
Verb;eripere;eripio;eripui;ereptum;;;;;entreißen;
Verb;experiri;experior;expertus sum;;;;;;versuchen, erfahren;
Verb;extrahere;extraho;extraxi;extractum;;;;;herausziehen;
Substantiv;fabula;;;;fabulae;f;;;Fabel;
Substantiv;fames;;;;famis;f;;;Hunger;
Substantiv;fauces;;;;faucium;f;;;"Rachen;Hals";
Verb;ferre ;fero;tuli;latum;;;;;"tragen;bringen";
Verb;fingere;fingo;finxi;fictum;;;;;"erfinden;erdichten";
Substantiv;flumen;;;;fluminis;n;;;Fluss;
Substantiv;genus;;;;generis;n;;;"Geschlecht;Gattung;Art";
Verb;gerere;gero;gessi;gestum;;;;;"tragen;ausführen";
Verb;gloriari;glorior;gloriatus sum;;;;;;sich rühmen;
Substantiv;grex;;;;gregis;m;;;Schar;
Verb;haerere;heareo;haesi;haesurus;;;;;"hängen;stecken bleiben";
Verb;iacere;iaceo;iacui;;;;;;am Boden liegen;
Verb;imitari;imitor;imitatus sum;;;;;;nachahmen;
Sonstiges;impune;;;;;;;;"ungestraft;ohne Schaden";
Adjektiv;inanis;;;;;;inanis;inane;"leer;wertlos;eitel";
Verb;incipere;incipio;coepi;coeptum;;;;;"anfangen;beginnen";
Verb;incitare;incito;incitavi;incitatum;;;;;"erregen;reizen";
Adjektiv;incolumis;;;;;;incolumis;incolume;unversehrt;
Adjektiv;indignus;;;;;;indigna;indignum;unwürdig;
Adjektiv;inferior;;;;;;inferior;inferius;"tiefer;niedriger";
Adjektiv;ingratus;;;;;;ingrata;ingratum;undankbar;
Adjektiv;iniustus;;;;;;iniusta;iniustum;ungerecht;
Adjektiv;innocens;;;;innocentis;;innocens;innocens;unschuldig;
Verb;inserere;insero;inserui;insertum;;;;;hineinstecken;
